p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
PPP1CB-others-1	1.90721322083113e-94	0.373279969565876	0.623	0.373	4.45906451030319e-90	0	PPP1CB
PTEN-others-3	1.03230518343411e-53	0.252576047212127	0.598	0.397	2.41352951886895e-49	0	PTEN
PTPRC-others-1	2.49118269866405e-89	0.325783524115691	0.948	0.829	5.82438514947654e-85	0	PTPRC
RAB7A-others-2	5.20915437771311e-149	0.439580068820063	0.695	0.373	1.21790029350933e-144	0	RAB7A
RBM39-others-0	1.46288305090468e-70	0.285104633900095	0.736	0.518	3.42022057301513e-66	0	RBM39
SEC62-exons-0	5.23757431401286e-50	-0.264389364127026	0.398	0.571	1.22454487461621e-45	0	SEC62
SON-exons-1	2.99719886905694e-75	-0.299300510788187	0.565	0.734	7.00745095585512e-71	0	SON
SRSF10-others-1	2.40008576941767e-88	-0.298645937272021	0.182	0.443	5.6114005288985e-84	0	SRSF10
TAOK3-others-3	3.90425455945096e-129	0.3603427011041	0.624	0.308	9.12814715999634e-125	0	TAOK3
UBE2D3-others-3	1.47483013472429e-71	0.254547053234692	0.513	0.29	3.44815285498538e-67	0	UBE2D3
YPEL5-exons-0	5.40219217998471e-70	0.259881320160565	0.473	0.264	1.26303253168043e-65	0	YPEL5
YWHAB-exons-2	1.11154911995859e-69	0.265532228633855	0.677	0.472	2.59880184246319e-65	0	YWHAB
ZC3HAV1-others-1	1.52866894086436e-37	-0.311808806468171	0.307	0.455	3.57402798374088e-33	0	ZC3HAV1
ZFAS1-others-0	2.20035802874815e-56	-0.274718741875121	0.273	0.473	5.14443707121316e-52	0	ZFAS1
ZFP36L2-exons-1	1.24789842420246e-47	0.251821190555099	0.824	0.704	2.91758651578534e-43	0	ZFP36L2
ACAP2-others-0.1	1.21676784631746e-47	-0.283382361544643	0.405	0.619	2.84480322469021e-43	1	ACAP2
DAZAP2-exons-1.1	1.02796859492454e-53	-0.295746788990471	0.461	0.645	2.40339057493357e-49	1	DAZAP2
DNAJA1-others-0.1	2.63923422508996e-41	-0.261526660881382	0.154	0.33	6.17052961826033e-37	1	DNAJA1
ELF1-others-1.1	3.35541798775853e-33	-0.252369759108597	0.316	0.484	7.84496725537945e-29	1	ELF1
FAM49B-others-1.1	5.38756906687227e-72	-0.398929862168664	0.443	0.685	1.25961364783474e-67	1	FAM49B
HLA-C-others-0	1.85801882120088e-249	-0.389184756536464	1	1	4.34404800396767e-245	1	HLA-C
RAB7A-others-2.1	3.28425369360259e-50	-0.312259770810402	0.258	0.469	7.67858513564287e-46	1	RAB7A
RPL27-exons-0.1	5.65919933618125e-114	0.271331448584786	0.999	0.993	1.32312080479918e-109	1	RPL27
TAPBP-exons-0	1.21596514735368e-61	-0.282624428539151	0.402	0.623	2.8429265145129e-57	1	TAPBP
TXNIP-exons-0.1	5.61250441629028e-55	0.254006590539016	0.97	0.886	1.31220353252867e-50	1	TXNIP
VAMP2-exons-0.1	4.13207523268648e-60	0.257341188157294	0.803	0.648	9.660791894021e-56	1	VAMP2
YWHAZ-others-3.1	5.39983419911709e-31	-0.255695263589494	0.35	0.508	1.26248123575358e-26	1	YWHAZ
ACAP2-others-0.2	5.45342260988585e-30	-0.258088230126028	0.459	0.607	1.27501020619131e-25	2	ACAP2
ELF1-others-1.2	5.7232865684432e-34	-0.27406286039681	0.316	0.482	1.33810439970202e-29	2	ELF1
FAM49B-others-1.2	8.90557227917261e-48	-0.364887363522835	0.5	0.672	2.08212279887056e-43	2	FAM49B
HLA-C-others-0.1	3.52624602075425e-105	-0.259876185811062	1	1	8.24436319652343e-101	2	HLA-C
PDIA3-others-0	1.64580588759854e-22	-0.252050470890596	0.228	0.354	3.84789416520538e-18	2	PDIA3
RAB7A-others-2.2	9.05217441384878e-39	-0.290335613141361	0.28	0.462	2.11639837795784e-34	2	RAB7A
RNH1-exons-1.1	3.96933460223328e-36	-0.253394518557799	0.404	0.551	9.28030430002141e-32	2	RNH1
SF1-exons-0.1	2.3128546503158e-72	0.28017146794205	0.861	0.648	5.40745417243835e-68	2	SF1
TAOK3-others-3.2	1.68755953609448e-37	-0.264444223087421	0.216	0.395	3.9455141953889e-33	2	TAOK3
TXNIP-exons-0.2	7.54030798447091e-77	0.285055523428045	0.978	0.886	1.7629240067693e-72	2	TXNIP
XIST-exons-3.1	7.32329650014096e-37	-0.271214370245978	0.56	0.696	1.71218672173296e-32	2	XIST
AHNAK-others-0.3	2.34921077041862e-13	-0.344256266947897	0.281	0.358	5.49245478123873e-09	3	AHNAK
AKAP13-others-3.3	1.3705578489413e-32	-0.315641030296069	0.299	0.465	3.20436425082475e-28	3	AKAP13
ANXA1-exons-0.3	6.18165803982782e-50	0.292917366343342	0.819	0.608	1.44527164971174e-45	3	ANXA1
C12orf57-exons-3.3	2.99259305832986e-60	0.254738777168663	0.779	0.493	6.99668257037522e-56	3	C12orf57
CD55-others-0	4.60442553560716e-26	-0.255250859891183	0.277	0.435	1.07651469022495e-21	3	CD55
DOCK8-others-0.3	1.04473716364314e-73	-0.767587814927058	0.173	0.427	2.44259548859766e-69	3	DOCK8
FAM49B-others-1.3	8.3059169363231e-44	-0.357231108613114	0.493	0.67	1.94192337971234e-39	3	FAM49B
GTF3A-exons-0.1	1.9801401164959e-47	0.252322832339194	0.779	0.626	4.6295675923674e-43	3	GTF3A
JUN-exons-0.2	2.17281703960133e-27	0.257532702739818	0.93	0.88	5.08004623858791e-23	3	JUN
KLF2-exons-3.1	2.37536745795798e-58	0.263426364909652	0.99	0.944	5.55360911670576e-54	3	KLF2
KLF6-others-0.2	7.29984832426388e-80	0.442909069206281	0.622	0.374	1.70670453821289e-75	3	KLF6
LRRFIP1-others-3.3	1.76340170865801e-26	-0.448910220276468	0.474	0.576	4.12283319484243e-22	3	LRRFIP1
MBNL1-others-1.1	4.27448948098173e-20	0.254567058718975	0.924	0.912	9.9937564065353e-16	3	MBNL1
PABPC1-exons-1.1	4.50582971320132e-49	-0.273888991049825	0.926	0.948	1.05346298694647e-44	3	PABPC1
PTPRC-others-1.2	6.9084433635266e-45	-0.29656744891407	0.761	0.866	1.61519405839252e-40	3	PTPRC
SARAF-others-0.2	1.08385632626759e-28	0.257645959633525	0.783	0.67	2.53405609081362e-24	3	SARAF
TUBA1A-exons-0.3	1.41991982890716e-18	-0.277711578745025	0.575	0.647	3.31977255998494e-14	3	TUBA1A
ZC3HAV1-others-1.1	2.99004572069122e-31	0.282520463358124	0.561	0.406	6.99072689497607e-27	3	ZC3HAV1
BTG2-exons-1.2	1.5328052734751e-30	-0.312189355178935	0.303	0.475	3.58369872938477e-26	4	BTG2
CCNL1-exons-3.1	3.87190707010025e-55	0.264377393852867	0.562	0.32	9.05251872989439e-51	4	CCNL1
CSK-exons-0	9.11629824976748e-86	0.299371660961602	0.555	0.264	2.13139053079564e-81	4	CSK
DDX21-others-0.1	1.12906286527433e-53	0.270002251762824	0.528	0.289	2.63974897901138e-49	4	DDX21
DDX3X-exons-1.1	2.36908419625413e-44	0.253885718165437	0.586	0.372	5.53891885084215e-40	4	DDX3X
DDX5-exons-1.1	2.14921261454433e-39	-0.319716787806923	0.609	0.737	5.02485909280465e-35	4	DDX5
ELF1-others-2.1	4.49412518486096e-68	0.296247315953545	0.408	0.17	1.05072646822049e-63	4	ELF1
FUS-exons-0.1	5.07128098573593e-34	-0.294430667015997	0.473	0.629	1.18566549446506e-29	4	FUS
GNAS-others-0	3.98912302881492e-21	-0.25008859681315	0.465	0.6	9.32656964136928e-17	4	GNAS
HLA-C-others-0.2	2.7051553453451e-159	0.309092657091589	1	1	6.32465319741683e-155	4	HLA-C
HLA-E-exons-0.1	2.36725308426643e-55	-0.287642160225473	0.957	0.977	5.53463771101491e-51	4	HLA-E
HNRNPU-others-0.1	1.07748913755621e-64	0.337642635611974	0.475	0.233	2.51916960360641e-60	4	HNRNPU
HSP90AA1-exons-2	5.24761961068527e-56	0.28161224619377	0.701	0.47	1.22689346497822e-51	4	HSP90AA1
IFITM2-exons-2.2	8.55830908846192e-100	-0.781070746310914	0.668	0.817	2.0009326648824e-95	4	IFITM2
JMJD1C-others-2.4	1.53612441597562e-87	0.445776829329489	0.936	0.698	3.591458884551e-83	4	JMJD1C
KLF2-exons-3.2	3.91618806334735e-48	-0.308074385558451	0.916	0.954	9.15604769210612e-44	4	KLF2
MBP-others-1.1	1.86623004656024e-58	0.335135611759184	0.519	0.286	4.36324584885785e-54	4	MBP
N4BP2L2-exons-1.1	6.71731035914795e-47	-0.316113818704367	0.364	0.572	1.57050716196879e-42	4	N4BP2L2
PABPC1-exons-1.2	8.02190852840254e-79	0.279480757384086	0.994	0.939	1.87552221394051e-74	4	PABPC1
PDIA3-others-0.1	1.09337653542491e-34	0.272324039589226	0.505	0.314	2.55631433982344e-30	4	PDIA3
PPP1CB-others-1.1	2.06518535319925e-46	0.286164460303615	0.62	0.396	4.82840335577984e-42	4	PPP1CB
PTPRC-exons-2.1	2.54877862193769e-53	0.253489752028969	0.959	0.855	5.95904441809033e-49	4	PTPRC
SON-exons-1.1	1.04964917353758e-37	-0.273516455446847	0.579	0.717	2.45407976773086e-33	4	SON
SRSF10-others-1.1	4.58514315422158e-49	-0.283846438316668	0.182	0.42	1.072006469457e-44	4	SRSF10
TUBA1B-exons-0.1	7.84999312568794e-34	0.267858895914716	0.784	0.644	1.83532839278584e-29	4	TUBA1B
ZC3HAV1-others-1.2	2.96758368100615e-16	-0.269780199046716	0.331	0.439	6.93821064619237e-12	4	ZC3HAV1
ZFP36L2-exons-1.1	6.54533973969035e-58	0.346558484842275	0.87	0.709	1.5303004311396e-53	4	ZFP36L2
ABHD17A-exons-0.2	6.55806706604638e-20	-0.255752744392068	0.316	0.469	1.53327608004164e-15	5	ABHD17A
ARPC3-others-3	5.64173982749266e-31	0.258334395698339	0.426	0.249	1.31903877166778e-26	5	ARPC3
CDC42SE2-others-3.2	3.39340478083784e-51	0.43146836600346	0.707	0.488	7.93378037759888e-47	5	CDC42SE2
CYBA-others-0	2.06904302629473e-51	0.31515293768991	0.541	0.304	4.83742259547708e-47	5	CYBA
CYBB-exons-1.5	1.02876504785303e-18	-0.30184617638453	0.165	0.291	2.40525268188039e-14	5	CYBB
DOCK8-others-0.5	8.52950976768248e-11	-0.394771225763807	0.322	0.4	1.99419938368416e-06	5	DOCK8
GDI2-others-3	9.19997901416259e-56	0.274824848374163	0.354	0.143	2.15095509351121e-51	5	GDI2
HNRNPU-others-0.2	1.61350582320031e-24	-0.273801427746077	0.115	0.275	3.77237661464233e-20	5	HNRNPU
PABPC1-others-3	7.90176735856126e-28	-0.29824805388876	0.215	0.401	1.84743320843162e-23	5	PABPC1
PLAC8-exons-0.1	6.45744707595746e-44	0.289039381936372	0.645	0.418	1.50975112635885e-39	5	PLAC8
QKI-others-1.5	8.99002211358448e-19	-0.341429183171151	0.259	0.402	2.10186717015605e-14	5	QKI
SMCHD1-others-2	5.97183381524734e-26	0.287521270620026	0.619	0.462	1.39621474600483e-21	5	SMCHD1
STAT2-exons-0.5	3.62071333418739e-19	-0.253941302834995	0.214	0.356	8.46522777533012e-15	5	STAT2
TNRC6B-others-3.2	1.07039552188607e-44	0.371099155455362	0.766	0.568	2.50258473016963e-40	5	TNRC6B
TUBA1A-exons-0.5	5.31268492225943e-21	-0.329599600597971	0.54	0.647	1.24210573482426e-16	5	TUBA1A
AHNAK-others-0.6	1.31523143202184e-30	-0.47179429109702	0.159	0.364	3.07501108806706e-26	6	AHNAK
AKAP13-others-3.5	4.4870826418628e-28	-0.342709232548145	0.257	0.459	1.04907992166752e-23	6	AKAP13
AOAH-others-2.6	7.93565866536909e-23	0.394995520113821	0.604	0.44	1.85535699596329e-18	6	AOAH
BCL11B-others-1.6	4.37273415153191e-32	0.251788568354509	0.564	0.338	1.02234524462816e-27	6	BCL11B
CCND3-others-2.4	3.11032655521126e-35	0.326087048716082	0.869	0.651	7.27194348608394e-31	6	CCND3
CD44-others-0.1	1.37383670651484e-07	0.256072005494106	0.464	0.4	0.00321203021983169	6	CD44
CELF2-others-2	4.90627320721931e-21	0.271033643392798	0.744	0.637	1.14708667584787e-16	6	CELF2
DOCK8-others-0.6	7.31995384947569e-56	-0.81211621289154	0.131	0.417	1.71140521000742e-51	6	DOCK8
FNBP1-others-1	3.46105358511026e-15	0.252983521882655	0.808	0.719	8.09194328198778e-11	6	FNBP1
HNRNPU-others-0.3	5.51037086879486e-24	-0.273481577514491	0.105	0.274	1.28832470912424e-19	6	HNRNPU
IRF1-exons-2.5	4.26665205716057e-15	-0.267941696647304	0.453	0.577	9.97543250964141e-11	6	IRF1
JUN-exons-0.4	9.56369671948456e-18	0.310753563696321	0.928	0.883	2.23599229301549e-13	6	JUN
KLF6-others-0.3	9.6796527360076e-27	0.374538756702357	0.551	0.394	2.26310280967858e-22	6	KLF6
LRRFIP1-others-3.6	4.57136072830952e-13	-0.412545737303932	0.487	0.569	1.06878413827877e-08	6	LRRFIP1
MYO1F-others-0.5	1.04573185934696e-41	0.346899049217499	0.679	0.42	2.44492108715319e-37	6	MYO1F
PTPRC-exons-0	1.13420693319555e-29	0.265433651318119	0.905	0.83	2.6517758098112e-25	6	PTPRC
SUB1-exons-0	9.65351375946201e-29	0.250201662838936	0.908	0.829	2.25699151696222e-24	6	SUB1
TGFB1-others-3	5.93790370653876e-12	0.252730537178924	0.392	0.284	1.38828188658876e-07	6	TGFB1
TUBA1A-exons-0.6	1.40165852138844e-11	-0.263531348747023	0.57	0.643	3.27707762300617e-07	6	TUBA1A
ADA2-exons-0.7	2.9679949205513e-13	-0.280416974503356	0.148	0.33	6.93917212424893e-09	7	ADA2
AHNAK-others-0.7	3.82005358270768e-12	-0.383210196100419	0.177	0.355	8.93128527637056e-08	7	AHNAK
AKAP13-others-3.6	2.34321412168207e-08	-0.257486580109398	0.305	0.449	0.000547843461649269	7	AKAP13
APLP2-exons-0.6	1.30886135887335e-09	-0.308500398494523	0.221	0.367	3.0601178570459e-05	7	APLP2
APOL6-others-0	8.54163557192752e-14	0.251989132486042	0.34	0.189	1.99703439671665e-09	7	APOL6
CD69-others-3.5	8.04132976482926e-18	0.422600132426878	0.578	0.375	1.88006289901708e-13	7	CD69
DOCK8-others-0.7	2.21806055469288e-10	-0.467638343247472	0.256	0.399	5.18582557687196e-06	7	DOCK8
HMGB1-exons-0	2.06551789433151e-16	0.263177466855431	0.942	0.871	4.82918083694708e-12	7	HMGB1
IFI16-others-0	6.28155923121179e-23	0.385742495783743	0.515	0.312	1.46862854825732e-18	7	IFI16
JMJD1C-others-2.6	8.33661948546763e-16	-0.45194565423243	0.59	0.73	1.94910163570233e-11	7	JMJD1C
KLF2-exons-3.3	5.91601107915032e-24	0.287787333147882	0.991	0.948	1.38316339030535e-19	7	KLF2
NCOA4-exons-0.7	4.07449366423603e-12	-0.250019843297996	0.154	0.326	9.52616618698384e-08	7	NCOA4
SP100-others-0.1	3.51295300819752e-09	0.2924747126374	0.634	0.542	8.21328413316579e-05	7	SP100
TAOK3-others-1.1	1.95732878204234e-07	0.319276393854239	0.581	0.478	0.00457623469241498	7	TAOK3
TLE5-exons-0.4	2.07197129838271e-16	0.276631504751274	0.881	0.721	4.84426889561878e-12	7	TLE5
TNRC6B-others-3.3	1.61678125648389e-08	0.302419024820836	0.674	0.582	0.000378003457765934	7	TNRC6B
TUBA1A-exons-0.7	1.02338628326377e-07	-0.257328708427224	0.515	0.642	0.00239267713027069	7	TUBA1A
ZFP36L2-exons-1.3	1.04022200964622e-15	-0.309400755483854	0.573	0.734	2.43203905855286e-11	7	ZFP36L2
ANKRD44-others-2.2	1.64281856286102e-08	-0.321626572189377	0.759	0.843	0.000384090979996907	8	ANKRD44
ANXA1-exons-0.6	1.26424321648552e-06	-0.358687485188743	0.573	0.638	0.0295580064014314	8	ANXA1
AOAH-others-2.8	4.55795973993022e-23	0.410773928753017	0.786	0.445	1.06565098719569e-18	8	AOAH
BTG2-exons-1.4	8.52535420909242e-07	-0.274735877184258	0.323	0.46	0.0199322781408581	8	BTG2
CD44-others-1.3	9.73407162489136e-08	-0.254039984419257	0.527	0.68	0.0022758259458996	8	CD44
CIRBP-exons-1.1	5.00508690614375e-11	-0.269871790775231	0.227	0.442	1.17018931865641e-06	8	CIRBP
DNAJA1-exons-1.1	4.48183003356847e-13	0.259806592950973	0.7	0.499	1.04785186184831e-08	8	DNAJA1
DOCK8-others-0.8	3.76486002255501e-57	0.648614025926689	0.909	0.38	8.80224273273361e-53	8	DOCK8
FOSB-exons-0.3	2.13786351709299e-09	-0.328831820454217	0.659	0.759	4.99832490296341e-05	8	FOSB
GNAS-others-0.1	6.21132859615244e-11	-0.346205040096535	0.395	0.59	1.45220862578044e-06	8	GNAS
H1FX-exons-0	2.08948578630901e-06	-0.282800751976727	0.514	0.634	0.0488521776839046	8	H1FX
HLA-C-others-0.4	4.15953705593282e-53	0.344071552714702	1	1	9.72499763677094e-49	8	HLA-C
IRF1-exons-1.3	3.61219174134409e-19	0.340162529160742	0.714	0.434	8.44530429126248e-15	8	IRF1
JUND-exons-0	5.88552519551117e-10	-0.253103230856753	0.686	0.8	1.37603579071051e-05	8	JUND
LEPROTL1-others-0.5	1.54296752493186e-13	-0.388895063702101	0.095	0.329	3.6074580732907e-09	8	LEPROTL1
MYO1F-others-1.6	4.77876090461235e-26	0.307836442549776	0.6	0.26	1.11727429949837e-21	8	MYO1F
NDFIP1-others-1.5	9.25367769086418e-16	-0.552284130875614	0.223	0.456	2.16350984412404e-11	8	NDFIP1
PARP14-others-1.5	1.3642150495379e-16	0.251419094451778	0.591	0.32	3.18953478581961e-12	8	PARP14
SMCHD1-others-1	1.5432754445124e-08	-0.363503544980353	0.486	0.625	0.000360817798927	8	SMCHD1
SP100-others-0.2	1.29561527922362e-09	-0.371316322845851	0.391	0.55	3.02914852282483e-05	8	SP100
TMBIM4-exons-0	5.46021767558682e-17	0.279411982673312	0.8	0.545	1.2765988925522e-12	8	TMBIM4
XIST-exons-1	1.11794115792403e-06	-0.250526083417538	0.414	0.537	0.0261374642722637	8	XIST
YPEL5-others-1	1.79040280766042e-10	-0.363362682316937	0.355	0.534	4.18596176431006e-06	8	YPEL5
ADA2-others-1	7.00394631558547e-11	0.289727262453078	0.554	0.235	1.63752264858388e-06	9	ADA2
ARL4C-exons-1.2	1.16586004120324e-16	0.375067349927871	0.554	0.185	2.72578077633318e-12	9	ARL4C
CDV3-exons-0	5.46494015450807e-08	0.261517039442221	0.554	0.278	0.00127770300812399	9	CDV3
CIRBP-exons-0.3	9.66668331413971e-10	0.340304737196605	0.932	0.666	2.26007055884586e-05	9	CIRBP
COX7A2L-exons-1	1.97830679716331e-07	0.253063479713109	0.865	0.548	0.00462528129176781	9	COX7A2L
CYBB-others-1.8	2.31737612898421e-08	0.259077996322339	0.608	0.287	0.000541802538956509	9	CYBB
CYTIP-exons-1.2	9.39974114815221e-07	-0.385562596844271	0.257	0.514	0.0219765948043799	9	CYTIP
DDX17-exons-2.1	9.84483996338015e-16	0.505711269914268	0.811	0.486	2.30172358343828e-11	9	DDX17
DDX18-others-0	4.73804601330237e-13	0.330910906191627	0.324	0.088	1.10775515791009e-08	9	DDX18
EIF3G-exons-0.2	9.94254389203267e-07	-0.348032827858096	0.689	0.815	0.0232456676195724	9	EIF3G
H1FX-exons-1	3.79005635264113e-12	0.280865977773048	0.446	0.155	8.86115175247497e-08	9	H1FX
HLA-C-exons-0.3	3.04381070540339e-07	-0.312138905086795	0.959	0.972	0.00711642942923313	9	HLA-C
HSP90AB1-exons-3.5	1.22164001767604e-07	0.323909105532949	0.919	0.68	0.00285619436132659	9	HSP90AB1
HSPE1-exons-1.1	3.89088693418077e-07	0.293723809630161	0.77	0.498	0.00909689365211464	9	HSPE1
IKZF1-others-0	1.4144535338668e-08	0.25062671838576	0.514	0.229	0.000330699236218059	9	IKZF1
LCP1-others-2	1.18259256911811e-06	0.306927995671832	0.581	0.323	0.0276490142659814	9	LCP1
MBNL1-others-0.1	7.7826855380782e-10	-0.550484638408668	0.959	0.978	1.81959187880268e-05	9	MBNL1
MTPN-exons-2.4	2.78040867259536e-08	0.295263009664808	0.581	0.301	0.000650059547652796	9	MTPN
MYO1F-exons-0.6	1.11786753530237e-06	-0.40967374288689	0.068	0.333	0.0261357429753694	9	MYO1F
RPL31-exons-3.5	1.4487768706106e-09	-0.470562399162263	0.797	0.875	3.38724032348759e-05	9	RPL31
RPL7-exons-0.4	1.77560959457816e-06	-0.303521468513976	0.919	0.936	0.0415137523212375	9	RPL7
SARAF-others-0.5	4.70319178776273e-09	-0.560201514158676	0.378	0.688	0.000109960623997893	9	SARAF
SRSF3-others-0	8.97441930200955e-09	0.266248494864983	0.541	0.249	0.000209821923280983	9	SRSF3
STK17B-others-3.1	4.57256905897183e-08	0.464256854695494	0.838	0.69	0.00106906664598761	9	STK17B
TNFAIP8-others-0.3	2.99958272720709e-08	-0.492042620873523	0.095	0.414	0.000701302441621017	9	TNFAIP8
TNRC6B-others-3.5	8.56127890664799e-07	0.288716371598478	0.878	0.583	0.020016270083743	9	TNRC6B
YME1L1-others-3	1.93408450101542e-09	0.281016152727151	0.527	0.236	4.52188956337405e-05	9	YME1L1
CD53-others-1	1.69545202297184e-06	-0.507808818587451	0	0.429	0.0396396682970816	10	CD53
MBNL1-others-0.2	1.81077932521634e-09	-0.811451363376569	1	0.978	4.2336020623558e-05	10	MBNL1
MYH9-exons-0	2.12475050010273e-06	0.734172809544095	0.788	0.508	0.0496766666924019	10	MYH9
UBB-exons-2.2	1.10753125015306e-06	0.541001798178749	0.879	0.568	0.0258940806285786	10	UBB
